subj_idx,ss_presented,inhibited,ssd,rt
4,0,-999,-999.0,351.0
4,0,-999,-999.0,347.0
4,0,-999,-999.0,343.0
4,0,-999,-999.0,443.0
4,0,-999,-999.0,313.0
4,0,-999,-999.0,311.0
4,0,-999,-999.0,333.0
4,0,-999,-999.0,299.0
4,1,0,100.0,304.0
4,0,-999,-999.0,355.0
4,0,-999,-999.0,446.0
4,1,0,200.0,336.0
4,0,-999,-999.0,417.0
4,0,-999,-999.0,356.0
4,0,-999,-999.0,604.0
4,0,-999,-999.0,354.0
4,0,-999,-999.0,437.0
4,1,0,150.0,211.0
4,0,-999,-999.0,275.0
4,0,-999,-999.0,306.0
4,0,-999,-999.0,390.0
4,1,0,50.0,271.0
4,0,-999,-999.0,297.0
4,1,0,50.0,203.0
4,1,1,50.0,-999.0
4,0,-999,-999.0,390.0
4,0,-999,-999.0,232.0
4,0,-999,-999.0,323.0
4,0,-999,-999.0,282.0
4,0,-999,-999.0,435.0
4,0,-999,-999.0,259.0
4,1,1,100.0,-999.0
4,0,-999,-999.0,448.0
4,0,-999,-999.0,361.0
4,0,-999,-999.0,348.0
4,0,-999,-999.0,301.0
4,0,-999,-999.0,143.0
4,0,-999,-999.0,390.0
4,0,-999,-999.0,356.0
4,0,-999,-999.0,181.0
4,0,-999,-999.0,511.0
4,0,-999,-999.0,233.0
4,1,0,150.0,603.0
4,0,-999,-999.0,431.0
4,0,-999,-999.0,393.0
4,0,-999,-999.0,368.0
4,1,0,100.0,357.0
4,0,-999,-999.0,374.0
4,0,-999,-999.0,214.0
4,0,-999,-999.0,368.0
4,0,-999,-999.0,241.0
4,0,-999,-999.0,443.0
4,0,-999,-999.0,380.0
4,0,-999,-999.0,274.0
4,0,-999,-999.0,166.0
4,1,0,50.0,465.0
4,1,1,50.0,-999.0
4,1,1,100.0,-999.0
4,0,-999,-999.0,422.0
4,0,-999,-999.0,320.0
4,0,-999,-999.0,296.0
4,1,0,100.0,217.0
4,0,-999,-999.0,426.0
4,0,-999,-999.0,362.0
4,0,-999,-999.0,330.0
4,1,1,150.0,-999.0
4,0,-999,-999.0,390.0
4,0,-999,-999.0,636.0
4,0,-999,-999.0,350.0
